nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
804968;570547;202207;2;999;2;1959;63;6;71;2;0;1;1;2;1;2;8;0;0;0;0;0;0;0;0;0;7;7;1;1;2;0;1
805005;578730;202207;1;1;1;1969;52;5;52;2;0;1;5;2;1;2;13;0;0;0;0;0;0;0;2500;2200;5;5;5;1;10;0;0
805007;594677;202207;1;999;1;1953;68;7;68;2;0;1;1;2;1;5;9;3100;3100;2580;2580;2580;7;6;6300;4558;5;5;5;1;2;0;0
805014;518147;202207;1;999;5;1999;23;2;59;3;2;0;5;4;1;2;7;-13;948,0095994;750;-13;750;13;2;4902,486603;3500;4;4;4;0;99;0;0
805017;554806;202207;1;999;1;1986;36;4;36;1;0;0;5;1;2;1;1;2900;2900;2700;2700;2700;6;6;2900;2700;6;6;6;1;7;101;0
805023;542550;202207;2;999;2;1956;65;7;68;2;0;1;1;2;1; ;9;4400;4400;2200;2200;2200;9;5;9900;5200;5;5;5;1;7;0;0
805027;537756;202207;1;999;1;1995;27;3;27;1;0;0;5;1;1;4;7;880;880;880;880;880;2;2;880;880;6;6;6;1;9;0;0
805034;579436;202207;2;999;5;2004;18;2;48;4;2;1;5;3;1;5;7;-13;286,9920401;250;-13;250;13;1;8926,592004;5750;3;1;1;1;9;0;0
805052;587933;202207;2;999;5;2020;1;1;33;4;2;1;5;3;1;2;14;0;0;0;0;0;0;0;4604;3500;9;9; ;1;7; ;0
805059;571875;202207;2;999;2;1952;69;7;67;3;1;1;1;3;1;3;8;-13;1017,33883;895;895;895;13;2;7130,426708;5295;2;2;2;1;2;0;0
805062;539263;202207;2;999;1;1957;64;6;64;4;2;0;4;4;1;5;10;-13;3272,28887;2200;2200;2200;13;5;9674,984976;6750;5;5;5;1;2;201;0
805065;501331;202207;1;1;1;1952;70;7;70;2;0;1;1;2;1;4;9;5469;5469;3709;3709;3709;11;8;6420;4388;5;4;4;1;10;201;0
805068;521844;202207;2;999;1;1956;66;7;66;1;0;0;5;1;1;1;1;2481;2481;2052;2052;2052;5;5;2481;2052;2;2;2;1;8;201;0
805069;576962;202207;2;999;5;2021;1;1;34;4;2;1;5;3;1;5;14;-13;0;0;0;0;13;0;8375,910098;5300;9;9; ;1;9; ;0
805090;536291;202207;1;999;5;1997;24;2;61;5;3;1;5;3;1;4;7;-13;286,9920401;250;-13;250;13;1;5200,97612;3940;5;3;3;1;7;0;0
805096;569461;202207;1;999;3;1985;37;4;33;2;0;1;5;2;1;1;1;6100;6100;3912;3912;3912;11;8;9650;6412;6;6;6;1;1;0;0
805099;528924;202207;1;999;1;1964;57;6;57;2;0;1;1;2;1;4;1;-13; ;-14;-13; ;13;14; ; ;2;2;2;1;8;0;0
805102;541751;202207;1;999;5;2000;22;2;54;3;1;1;5;3;1;4;1;-13;2125,415916;1500;1500;1500;13;3;8449,066477;5700;4;2;2;0;2; ;0
805107;515573;202207;1;999;1;1939;83;7;83;3;1;1;1;3;1;5;9;1400;1400;900;900;900;3;2;4300;3000;1;1;1;0;10; ;0
805124;515582;202207;2;999;2;1961;61;6;56;3;1;1;1;3;1;3;10;-13;740,4744934;600;600;600;13;2;3940,474493;2850;3;3;3;1;8;0;0
805131;587113;202207;2;999;5;1991;31;3;66;2;1;0;5;4;1;4;10;1701;1701;1369;1369;1369;4;3;3501;2501;7;7;1;0;9; ;0
